session_idx,user_id_hash,start_utc,duration_min,event_count,distinct_workflows,analytical_workflows,workflows_invoked
74,68d58a13,2026-03-09T13:21:21.045219+00:00,122.9,898,8,5,test-gen dependency-check doc-audit document-manager perf-audit refactor-plan dependency-check refactor-plan doc-audit document-manager refactor-plan perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan dependency-check doc-audit document-manager refactor-plan perf-audit refactor-plan perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict test-gen bug-predict dependency-check doc-audit document-manager dependency-check perf-audit refactor-plan dependency-check refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit test-gen bug-predict dependency-check doc-audit document-manager bug-predict perf-audit refactor-plan dependency-check refactor-plan dependency-check refactor-plan dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen refactor-plan dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check
75,68d58a13,2026-03-09T17:16:40.579576+00:00,36.9,291,8,5,test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit test-gen bug-predict dependency-check doc-audit document-manager perf-audit bug-predict refactor-plan dependency-check refactor-plan dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check
76,68d58a13,2026-03-10T03:07:17.510040+00:00,38.4,144,6,3,test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan
77,68d58a13,2026-03-10T13:40:03.982023+00:00,12.4,97,8,5,test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check
78,68d58a13,2026-03-11T12:15:12.339324+00:00,25.8,122,8,5,test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check perf-audit refactor-plan test-gen dependency-check doc-audit document-manager test-audit bug-predict dependency-check
79,68d58a13,2026-03-13T04:21:14.998697+00:00,41.7,158,8,5,test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict test-gen dependency-check doc-audit document-manager dependency-check perf-audit refactor-plan test-audit bug-predict dependency-check
80,68d58a13,2026-03-13T16:41:50.235471+00:00,20.7,122,8,5,test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check test-gen dependency-check doc-audit document-manager perf-audit refactor-plan test-audit bug-predict dependency-check
81,68d58a13,2026-03-13T19:27:57.275494+00:00,29.0,93,6,3,test-gen dependency-check doc-audit document-manager refactor-plan test-audit test-gen dependency-check doc-audit document-manager refactor-plan test-audit test-gen dependency-check doc-audit document-manager refactor-plan test-audit
82,68d58a13,2026-03-13T20:45:22.550972+00:00,16.5,50,5,2,test-gen dependency-check document-manager refactor-plan test-audit test-gen dependency-check document-manager refactor-plan test-audit
83,68d58a13,2026-03-14T05:02:54.240458+00:00,6.0,10,2,0,test-gen document-manager test-gen document-manager
84,68d58a13,2026-03-14T07:08:31.351430+00:00,13.9,10,2,0,test-gen document-manager test-gen document-manager
85,68d58a13,2026-03-17T10:58:26.388144+00:00,32.7,20,2,0,test-gen document-manager test-gen document-manager test-gen document-manager test-gen document-manager
86,68d58a13,2026-03-19T03:21:44.601842+00:00,33.4,15,2,0,test-gen document-manager test-gen document-manager test-gen document-manager
87,68d58a13,2026-03-19T23:44:20.672030+00:00,0.2,5,2,0,test-gen document-manager
88,68d58a13,2026-03-21T06:15:23.488248+00:00,26.7,10,2,0,test-gen document-manager test-gen document-manager
89,68d58a13,2026-03-21T08:02:38.962445+00:00,0.2,5,2,0,test-gen document-manager
90,68d58a13,2026-03-21T13:57:14.708326+00:00,0.2,5,2,0,test-gen document-manager
91,68d58a13,2026-03-21T16:18:19.312710+00:00,0.2,5,2,0,test-gen document-manager
92,68d58a13,2026-03-21T21:43:43.355294+00:00,6.1,10,2,0,test-gen document-manager test-gen document-manager
93,68d58a13,2026-03-25T03:11:23.471269+00:00,21.6,15,2,0,test-gen document-manager test-gen document-manager test-gen document-manager
94,68d58a13,2026-04-01T14:03:10.256193+00:00,0.1,5,2,0,test-gen document-manager
95,68d58a13,2026-04-03T06:34:53.865833+00:00,41.6,25,2,0,test-gen document-manager test-gen document-manager test-gen document-manager test-gen document-manager test-gen document-manager
96,68d58a13,2026-04-08T05:15:54.870229+00:00,2.2,10,2,0,test-gen document-manager test-gen document-manager
97,68d58a13,2026-04-12T10:18:21.690796+00:00,2.5,10,2,0,test-gen document-manager test-gen document-manager
98,68d58a13,2026-04-13T17:52:54.809977+00:00,0.2,5,2,0,test-gen document-manager
99,68d58a13,2026-04-23T20:56:50.663597+00:00,4.6,6,2,0,test-gen document-manager test-gen document-manager
100,68d58a13,2026-04-24T16:08:52.311820+00:00,0.1,3,2,0,test-gen document-manager
101,68d58a13,2026-04-25T02:43:29.436363+00:00,57.3,21,2,0,test-gen document-manager test-gen document-manager test-gen document-manager test-gen document-manager test-gen document-manager test-gen document-manager test-gen document-manager
102,68d58a13,2026-05-06T12:20:01.888822+00:00,0.1,3,2,0,test-gen document-manager
103,68d58a13,2026-05-08T22:12:04.414578+00:00,16.9,6,2,0,test-gen document-manager test-gen document-manager
104,68d58a13,2026-05-08T23:51:58.900731+00:00,0.2,3,2,0,test-gen document-manager
105,68d58a13,2026-05-09T11:52:55.620300+00:00,1.2,6,2,0,test-gen document-manager test-gen document-manager
